iso_639_3,language_code,script,language_name,total_characters,total_frequency,data_source,years_count,min_year,max_year,relative_path
lit,lit_Latn,Latn,Lithuanian,15038,56753806559,"FineWeb2, v2.1.0",12,2013,2024,DATA/lit_Latn
hin,hin_Deva,Deva,Hindi,12684,51775798736,"FineWeb2, v2.1.0",12,2013,2024,DATA/hin_Deva
bos,bos_Latn,Latn,Bosnian,13225,50921736788,"FineWeb2, v2.1.0",12,2013,2024,DATA/bos_Latn
slv,slv_Latn,Latn,Slovenian,12974,43524989627,"FineWeb2, v2.1.0",12,2013,2024,DATA/slv_Latn
ekk,ekk_Latn,Latn,Standard Estonian,12889,42284327196,"FineWeb2, v2.1.0",12,2013,2024,DATA/ekk_Latn
cat,cat_Latn,Latn,Catalan,12474,41846197090,"FineWeb2, v2.1.0",12,2013,2024,DATA/cat_Latn
heb,heb_Hebr,Hebr,Hebrew,13690,41456869183,"FineWeb2, v2.1.0",12,2013,2024,DATA/heb_Hebr
hrv,hrv_Latn,Latn,Croatian,12344,37259194523,"FineWeb2, v2.1.0",12,2013,2024,DATA/hrv_Latn
ben,ben_Beng,Beng,Bengali,12364,35121943982,"FineWeb2, v2.1.0",12,2013,2024,DATA/ben_Beng
zsm,zsm_Latn,Latn,Standard Malay,15207,33958917634,"FineWeb2, v2.1.0",12,2013,2024,DATA/zsm_Latn
lvs,lvs_Latn,Latn,Standard Latvian,12413,32684156765,"FineWeb2, v2.1.0",12,2013,2024,DATA/lvs_Latn
azj,azj_Latn,Latn,North Azerbaijani,11975,24877921326,"FineWeb2, v2.1.0",12,2013,2024,DATA/azj_Latn
als,als_Latn,Latn,Tosk Albanian,11742,18022079803,"FineWeb2, v2.1.0",12,2013,2024,DATA/als_Latn
srp,srp_Cyrl,Cyrl,Serbian,10609,15934879871,"FineWeb2, v2.1.0",12,2013,2024,DATA/srp_Cyrl
tam,tam_Taml,Taml,Tamil,10594,14710407564,"FineWeb2, v2.1.0",12,2013,2024,DATA/tam_Taml
kaz,kaz_Cyrl,Cyrl,Kazakh,10938,12126769418,"FineWeb2, v2.1.0",12,2013,2024,DATA/kaz_Cyrl
urd,urd_Arab,Arab,Urdu,7996,12040998276,"FineWeb2, v2.1.0",12,2013,2024,DATA/urd_Arab
und,und_Cyrl,Cyrl,Undetermined,27472,10887809194,"FineWeb2, v2.1.0",12,2013,2024,DATA/und_Cyrl
kat,kat_Geor,Geor,Georgian,10915,10217445599,"FineWeb2, v2.1.0",12,2013,2024,DATA/kat_Geor
npi,npi_Deva,Deva,Nepali (individual language),6172,10065271133,"FineWeb2, v2.1.0",12,2013,2024,DATA/npi_Deva
isl,isl_Latn,Latn,Icelandic,9559,9976814930,"FineWeb2, v2.1.0",12,2013,2024,DATA/isl_Latn
mar,mar_Deva,Deva,Marathi,6135,9241702913,"FineWeb2, v2.1.0",12,2013,2024,DATA/mar_Deva
mkd,mkd_Cyrl,Cyrl,Macedonian,10130,8930197666,"FineWeb2, v2.1.0",12,2013,2024,DATA/mkd_Cyrl
mal,mal_Mlym,Mlym,Malayalam,7062,8797243362,"FineWeb2, v2.1.0",12,2013,2024,DATA/mal_Mlym
fil,fil_Latn,Latn,Filipino,12569,8646523208,"FineWeb2, v2.1.0",12,2013,2024,DATA/fil_Latn
afr,afr_Latn,Latn,Afrikaans,12031,8133493281,"FineWeb2, v2.1.0",12,2013,2024,DATA/afr_Latn
und,und_Kana,Kana,Undetermined,15873,7551285794,"FineWeb2, v2.1.0",12,2013,2024,DATA/und_Kana
bel,bel_Cyrl,Cyrl,Belarusian,9147,6776879222,"FineWeb2, v2.1.0",12,2013,2024,DATA/bel_Cyrl
glg,glg_Latn,Latn,Galician,7845,6741047876,"FineWeb2, v2.1.0",12,2013,2024,DATA/glg_Latn
tel,tel_Telu,Telu,Telugu,7253,5859539595,"FineWeb2, v2.1.0",12,2013,2024,DATA/tel_Telu
und,und_Grek,Grek,Undetermined,8615,5606582010,"FineWeb2, v2.1.0",12,2013,2024,DATA/und_Grek
kan,kan_Knda,Knda,Kannada,5842,5190026969,"FineWeb2, v2.1.0",12,2013,2024,DATA/kan_Knda
khk,khk_Cyrl,Cyrl,Halh Mongolian,11410,5074298105,"FineWeb2, v2.1.0",12,2013,2024,DATA/khk_Cyrl
guj,guj_Gujr,Gujr,Gujarati,5638,4883009320,"FineWeb2, v2.1.0",12,2013,2024,DATA/guj_Gujr
mya,mya_Mymr,Mymr,Burmese,10393,4795530155,"FineWeb2, v2.1.0",12,2013,2024,DATA/mya_Mymr
uzn,uzn_Latn,Latn,Northern Uzbek,9199,4629364248,"FineWeb2, v2.1.0",12,2013,2024,DATA/uzn_Latn
eus,eus_Latn,Latn,Basque,6913,4578630533,"FineWeb2, v2.1.0",12,2013,2024,DATA/eus_Latn
ary,ary_Arab,Arab,Moroccan Arabic,5770,4555621217,"FineWeb2, v2.1.0",12,2013,2024,DATA/ary_Arab
hye,hye_Armn,Armn,Armenian,7935,4238093662,"FineWeb2, v2.1.0",12,2013,2024,DATA/hye_Armn
lat,lat_Latn,Latn,Latin,12973,4099332408,"FineWeb2, v2.1.0",12,2013,2024,DATA/lat_Latn
gmh,gmh_Latn,Latn,Middle High German (ca. 1050-1500),1370,3626121537,"FineWeb2, v2.1.0",12,2013,2024,DATA/gmh_Latn
uzn,uzn_Cyrl,Cyrl,Northern Uzbek,4178,3571314219,"FineWeb2, v2.1.0",12,2013,2024,DATA/uzn_Cyrl
khm,khm_Khmr,Khmr,Khmer,10497,3314008597,"FineWeb2, v2.1.0",12,2013,2024,DATA/khm_Khmr
swh,swh_Latn,Latn,Swahili (individual language),8554,3279908160,"FineWeb2, v2.1.0",12,2013,2024,DATA/swh_Latn
sin,sin_Sinh,Sinh,Sinhala,6271,2924593624,"FineWeb2, v2.1.0",12,2013,2024,DATA/sin_Sinh
nno,nno_Latn,Latn,Norwegian Nynorsk,5827,2795424062,"FineWeb2, v2.1.0",12,2013,2024,DATA/nno_Latn
cym,cym_Latn,Latn,Welsh,6601,2633565855,"FineWeb2, v2.1.0",12,2013,2024,DATA/cym_Latn
kir,kir_Cyrl,Cyrl,Kirghiz,6167,2558370717,"FineWeb2, v2.1.0",12,2013,2024,DATA/kir_Cyrl
pan,pan_Guru,Guru,Panjabi,6591,2395941931,"FineWeb2, v2.1.0",12,2013,2024,DATA/pan_Guru
tgk,tgk_Cyrl,Cyrl,Tajik,6521,2238801367,"FineWeb2, v2.1.0",12,2013,2024,DATA/tgk_Cyrl
gle,gle_Latn,Latn,Irish,8825,2182422302,"FineWeb2, v2.1.0",12,2013,2024,DATA/gle_Latn
som,som_Latn,Latn,Somali,6415,2181603782,"FineWeb2, v2.1.0",12,2013,2024,DATA/som_Latn
srp,srp_Latn,Latn,Serbian,3316,2153586023,"FineWeb2, v2.1.0",12,2013,2024,DATA/srp_Latn
ory,ory_Orya,Orya,Odia,3752,1988117852,"FineWeb2, v2.1.0",12,2013,2024,DATA/ory_Orya
arz,arz_Arab,Arab,Egyptian Arabic,8050,1757422258,"FineWeb2, v2.1.0",12,2013,2024,DATA/arz_Arab
bew,bew_Latn,Latn,Betawi,6828,1726347350,"FineWeb2, v2.1.0",12,2013,2024,DATA/bew_Latn
nrm,nrm_Latn,Latn,Narom,13391,1669011454,"FineWeb2, v2.1.0",12,2013,2024,DATA/nrm_Latn
mlt,mlt_Latn,Latn,Maltese,8144,1563917263,"FineWeb2, v2.1.0",12,2013,2024,DATA/mlt_Latn
pbt,pbt_Arab,Arab,Southern Pashto,3724,1456717698,"FineWeb2, v2.1.0",12,2013,2024,DATA/pbt_Arab
ckb,ckb_Arab,Arab,Central Kurdish,6117,1395163658,"FineWeb2, v2.1.0",12,2013,2024,DATA/ckb_Arab
ars,ars_Arab,Arab,Najdi Arabic,6294,1331698543,"FineWeb2, v2.1.0",12,2013,2024,DATA/ars_Arab
epo,epo_Latn,Latn,Esperanto,11974,1261434853,"FineWeb2, v2.1.0",12,2013,2024,DATA/epo_Latn
kmr,kmr_Latn,Latn,Northern Kurdish,4045,1128478799,"FineWeb2, v2.1.0",12,2013,2024,DATA/kmr_Latn
amh,amh_Ethi,Ethi,Amharic,6460,1110068835,"FineWeb2, v2.1.0",12,2013,2024,DATA/amh_Ethi
ltz,ltz_Latn,Latn,Luxembourgish,6152,1014226282,"FineWeb2, v2.1.0",12,2013,2024,DATA/ltz_Latn
hif,hif_Latn,Latn,Fiji Hindi,7638,1012090338,"FineWeb2, v2.1.0",12,2013,2024,DATA/hif_Latn
plt,plt_Latn,Latn,Plateau Malagasy,10092,945603169,"FineWeb2, v2.1.0",12,2013,2024,DATA/plt_Latn
gla,gla_Latn,Latn,Scottish Gaelic,6472,901017029,"FineWeb2, v2.1.0",12,2013,2024,DATA/gla_Latn
tat,tat_Cyrl,Cyrl,Tatar,2560,895196055,"FineWeb2, v2.1.0",12,2013,2024,DATA/tat_Cyrl
lao,lao_Laoo,Laoo,Lao,6122,866558194,"FineWeb2, v2.1.0",12,2013,2024,DATA/lao_Laoo
und,und_Hira,Hira,Undetermined,21683,834903760,"FineWeb2, v2.1.0",12,2013,2024,DATA/und_Hira
kin,kin_Latn,Latn,Kinyarwanda,2579,811533680,"FineWeb2, v2.1.0",12,2013,2024,DATA/kin_Latn
jav,jav_Latn,Latn,Javanese,6059,808958338,"FineWeb2, v2.1.0",12,2013,2024,DATA/jav_Latn
div,div_Thaa,Thaa,Dhivehi,984,796109003,"FineWeb2, v2.1.0",12,2013,2024,DATA/div_Thaa
xho,xho_Latn,Latn,Xhosa,7889,784504254,"FineWeb2, v2.1.0",12,2013,2024,DATA/xho_Latn
snd,snd_Arab,Arab,Sindhi,4703,722902277,"FineWeb2, v2.1.0",12,2013,2024,DATA/snd_Arab
bod,bod_Tibt,Tibt,Tibetan,7415,703916674,"FineWeb2, v2.1.0",12,2013,2024,DATA/bod_Tibt
ceb,ceb_Latn,Latn,Cebuano,6514,683932442,"FineWeb2, v2.1.0",12,2013,2024,DATA/ceb_Latn
fry,fry_Latn,Latn,Western Frisian,4632,680950229,"FineWeb2, v2.1.0",12,2013,2024,DATA/fry_Latn
tuk,tuk_Latn,Latn,Turkmen,3584,663982204,"FineWeb2, v2.1.0",12,2013,2024,DATA/tuk_Latn
hat,hat_Latn,Latn,Haitian,5423,635575950,"FineWeb2, v2.1.0",12,2013,2024,DATA/hat_Latn
uig,uig_Arab,Arab,Uighur,6142,600576784,"FineWeb2, v2.1.0",12,2013,2024,DATA/uig_Arab
mww,mww_Latn,Latn,Hmong Daw,5081,592314488,"FineWeb2, v2.1.0",12,2013,2024,DATA/mww_Latn
asm,asm_Beng,Beng,Assamese,2256,563094227,"FineWeb2, v2.1.0",12,2013,2024,DATA/asm_Beng
fao,fao_Latn,Latn,Faroese,4134,544197690,"FineWeb2, v2.1.0",12,2013,2024,DATA/fao_Latn
mri,mri_Latn,Latn,Maori,6025,530543255,"FineWeb2, v2.1.0",12,2013,2024,DATA/mri_Latn
pap,pap_Latn,Latn,Papiamento,2997,524000815,"FineWeb2, v2.1.0",12,2013,2024,DATA/pap_Latn
ydd,ydd_Hebr,Hebr,Eastern Yiddish,4482,521403948,"FineWeb2, v2.1.0",12,2013,2024,DATA/ydd_Hebr
zul,zul_Latn,Latn,Zulu,4772,507273291,"FineWeb2, v2.1.0",12,2013,2024,DATA/zul_Latn
hin,hin_Latn,Latn,Hindi,2996,506429666,"FineWeb2, v2.1.0",12,2013,2024,DATA/hin_Latn
bak,bak_Cyrl,Cyrl,Bashkir,3970,484206939,"FineWeb2, v2.1.0",12,2013,2024,DATA/bak_Cyrl
und,und_Mong,Mong,Undetermined,7571,477196527,"FineWeb2, v2.1.0",12,2013,2024,DATA/und_Mong
hyw,hyw_Armn,Armn,Western Armenian,1136,468655020,"FineWeb2, v2.1.0",12,2013,2024,DATA/hyw_Armn
sun,sun_Latn,Latn,Sundanese,5072,440701826,"FineWeb2, v2.1.0",12,2013,2024,DATA/sun_Latn
cos,cos_Latn,Latn,Corsican,4057,416532634,"FineWeb2, v2.1.0",12,2013,2024,DATA/cos_Latn
smo,smo_Latn,Latn,Samoan,4057,415138039,"FineWeb2, v2.1.0",12,2013,2024,DATA/smo_Latn
nya,nya_Latn,Latn,Chichewa,7027,410561630,"FineWeb2, v2.1.0",12,2013,2024,DATA/nya_Latn
sot,sot_Latn,Latn,Southern Sotho,4898,382005314,"FineWeb2, v2.1.0",12,2013,2024,DATA/sot_Latn
sna,sna_Latn,Latn,Shona,4530,357669778,"FineWeb2, v2.1.0",12,2013,2024,DATA/sna_Latn
und,und_Thai,Thai,Undetermined,9755,354209586,"FineWeb2, v2.1.0",12,2013,2024,DATA/und_Thai
ibo,ibo_Latn,Latn,Igbo,4233,331525828,"FineWeb2, v2.1.0",12,2013,2024,DATA/ibo_Latn
haw,haw_Latn,Latn,Hawaiian,5098,321815047,"FineWeb2, v2.1.0",12,2013,2024,DATA/haw_Latn
urd,urd_Latn,Latn,Urdu,3562,280040107,"FineWeb2, v2.1.0",12,2013,2024,DATA/urd_Latn
sah,sah_Cyrl,Cyrl,Yakut,2656,277557330,"FineWeb2, v2.1.0",12,2013,2024,DATA/sah_Cyrl
ast,ast_Latn,Latn,Asturian,4366,265921386,"FineWeb2, v2.1.0",12,2013,2024,DATA/ast_Latn
sdh,sdh_Arab,Arab,Southern Kurdish,2315,262292101,"FineWeb2, v2.1.0",12,2013,2024,DATA/sdh_Arab
yor,yor_Latn,Latn,Yoruba,4615,258519865,"FineWeb2, v2.1.0",12,2013,2024,DATA/yor_Latn
yue,yue_Hani,Hani,Yue Chinese,17895,249484633,"FineWeb2, v2.1.0",12,2013,2024,DATA/yue_Hani
chv,chv_Cyrl,Cyrl,Chuvash,1872,229973510,"FineWeb2, v2.1.0",12,2013,2024,DATA/chv_Cyrl
lus,lus_Latn,Latn,Lushai,2986,229674238,"FineWeb2, v2.1.0",12,2013,2024,DATA/lus_Latn
hbo,hbo_Hebr,Hebr,Ancient Hebrew,1563,209512638,"FineWeb2, v2.1.0",12,2013,2024,DATA/hbo_Hebr
azb,azb_Arab,Arab,South Azerbaijani,2448,194375689,"FineWeb2, v2.1.0",12,2013,2024,DATA/azb_Arab
oci,oci_Latn,Latn,Occitan (post 1500),2602,189317743,"FineWeb2, v2.1.0",12,2013,2024,DATA/oci_Latn
grc,grc_Grek,Grek,Ancient Greek (to 1453),2317,188056973,"FineWeb2, v2.1.0",12,2013,2024,DATA/grc_Grek
nds,nds_Latn,Latn,Low German,3554,177551945,"FineWeb2, v2.1.0",12,2013,2024,DATA/nds_Latn
sme,sme_Latn,Latn,Northern Sami,3020,172122515,"FineWeb2, v2.1.0",12,2013,2024,DATA/sme_Latn
gsw,gsw_Latn,Latn,Swiss German,3940,165114943,"FineWeb2, v2.1.0",12,2013,2024,DATA/gsw_Latn
oss,oss_Cyrl,Cyrl,Iron Ossetic,2382,158243718,"FineWeb2, v2.1.0",12,2013,2024,DATA/oss_Cyrl
kal,kal_Latn,Latn,Kalaallisut,1438,156675430,"FineWeb2, v2.1.0",12,2013,2024,DATA/kal_Latn
nap,nap_Latn,Latn,Neapolitan,4028,155696004,"FineWeb2, v2.1.0",12,2013,2024,DATA/nap_Latn
tir,tir_Ethi,Ethi,Tigrinya,1980,153084342,"FineWeb2, v2.1.0",12,2013,2024,DATA/tir_Ethi
cnh,cnh_Latn,Latn,Hakha Chin,947,140710607,"FineWeb2, v2.1.0",12,2013,2024,DATA/cnh_Latn
run,run_Latn,Latn,Rundi,1428,140215573,"FineWeb2, v2.1.0",12,2013,2024,DATA/run_Latn
gaz,gaz_Latn,Latn,West Central Oromo,2091,130924460,"FineWeb2, v2.1.0",12,2013,2024,DATA/gaz_Latn
anp,anp_Deva,Deva,Angika,1304,130706613,"FineWeb2, v2.1.0",12,2013,2024,DATA/anp_Deva
bre,bre_Latn,Latn,Breton,3213,130503099,"FineWeb2, v2.1.0",12,2013,2024,DATA/bre_Latn
san,san_Deva,Deva,Sanskrit,2033,128202969,"FineWeb2, v2.1.0",12,2013,2024,DATA/san_Deva
hil,hil_Latn,Latn,Hiligaynon,3880,123248230,"FineWeb2, v2.1.0",12,2013,2024,DATA/hil_Latn
roh,roh_Latn,Latn,Romansh,559,123207074,"FineWeb2, v2.1.0",12,2013,2024,DATA/roh_Latn
rue,rue_Cyrl,Cyrl,Rusyn,3007,115393894,"FineWeb2, v2.1.0",12,2013,2024,DATA/rue_Cyrl
kiu,kiu_Latn,Latn,Kirmanjki (individual language),4595,114512412,"FineWeb2, v2.1.0",12,2013,2024,DATA/kiu_Latn
und,und_Deva,Deva,Undetermined,4185,112473094,"FineWeb2, v2.1.0",12,2013,2024,DATA/und_Deva
bar,bar_Latn,Latn,Bavarian,3219,112379908,"FineWeb2, v2.1.0",12,2013,2024,DATA/bar_Latn
tel,tel_Latn,Latn,Telugu,2225,103830929,"FineWeb2, v2.1.0",12,2013,2024,DATA/tel_Latn
uig,uig_Latn,Latn,Uighur,2958,102046706,"FineWeb2, v2.1.0",12,2013,2024,DATA/uig_Latn
apc,apc_Arab,Arab,Levantine Arabic,3487,96654886,"FineWeb2, v2.1.0",12,2013,2024,DATA/apc_Arab
und,und_Armn,Armn,Undetermined,676,93538061,"FineWeb2, v2.1.0",12,2013,2024,DATA/und_Armn
crh,crh_Latn,Latn,Crimean Tatar,2422,92149360,"FineWeb2, v2.1.0",12,2013,2024,DATA/crh_Latn
udm,udm_Cyrl,Cyrl,Udmurt,1443,89979255,"FineWeb2, v2.1.0",12,2013,2024,DATA/udm_Cyrl
hsb,hsb_Latn,Latn,Upper Sorbian,2506,89189891,"FineWeb2, v2.1.0",12,2013,2024,DATA/hsb_Latn
crs,crs_Latn,Latn,Seselwa Creole French,205,88203123,"FineWeb2, v2.1.0",12,2013,2024,DATA/crs_Latn
lim,lim_Latn,Latn,Limburgan,2236,88123165,"FineWeb2, v2.1.0",12,2013,2024,DATA/lim_Latn
tat,tat_Latn,Latn,Tatar,709,85320930,"FineWeb2, v2.1.0",12,2013,2024,DATA/tat_Latn
mhr,mhr_Cyrl,Cyrl,Eastern Mari,1789,81233075,"FineWeb2, v2.1.0",12,2013,2024,DATA/mhr_Cyrl
lug,lug_Latn,Latn,Ganda,3542,78744224,"FineWeb2, v2.1.0",12,2013,2024,DATA/lug_Latn
ben,ben_Latn,Latn,Bengali,2767,76683350,"FineWeb2, v2.1.0",12,2013,2024,DATA/ben_Latn
che,che_Cyrl,Cyrl,Chechen,885,69926689,"FineWeb2, v2.1.0",12,2013,2024,DATA/che_Cyrl
mai,mai_Deva,Deva,Maithili,1755,67926982,"FineWeb2, v2.1.0",12,2013,2024,DATA/mai_Deva
srd,srd_Latn,Latn,Sardinian,1402,67502210,"FineWeb2, v2.1.0",12,2013,2024,DATA/srd_Latn
hac,hac_Arab,Arab,Gurani,1333,64572147,"FineWeb2, v2.1.0",12,2013,2024,DATA/hac_Arab
fur,fur_Latn,Latn,Friulian,1094,63499119,"FineWeb2, v2.1.0",12,2013,2024,DATA/fur_Latn
zea,zea_Latn,Latn,Zeeuws,843,61348118,"FineWeb2, v2.1.0",12,2013,2024,DATA/zea_Latn
kha,kha_Latn,Latn,Khasi,340,60830144,"FineWeb2, v2.1.0",12,2013,2024,DATA/kha_Latn
tyv,tyv_Cyrl,Cyrl,Tuvinian,1051,59720161,"FineWeb2, v2.1.0",12,2013,2024,DATA/tyv_Cyrl
lin,lin_Latn,Latn,Lingala,1761,59199129,"FineWeb2, v2.1.0",12,2013,2024,DATA/lin_Latn
pnb,pnb_Arab,Arab,Western Panjabi,914,58103945,"FineWeb2, v2.1.0",12,2013,2024,DATA/pnb_Arab
ban,ban_Latn,Latn,Balinese,1028,56532242,"FineWeb2, v2.1.0",12,2013,2024,DATA/ban_Latn
rmy,rmy_Latn,Latn,Vlax Romani,504,56282416,"FineWeb2, v2.1.0",12,2013,2024,DATA/rmy_Latn
arg,arg_Latn,Latn,Aragonese,1797,54978368,"FineWeb2, v2.1.0",12,2013,2024,DATA/arg_Latn
lmo,lmo_Latn,Latn,Lombard,1402,53503126,"FineWeb2, v2.1.0",12,2013,2024,DATA/lmo_Latn
dzo,dzo_Tibt,Tibt,Dzongkha,3004,52457742,"FineWeb2, v2.1.0",12,2013,2024,DATA/dzo_Tibt
ilo,ilo_Latn,Latn,Iloko,1035,52063636,"FineWeb2, v2.1.0",12,2013,2024,DATA/ilo_Latn
uig,uig_Cyrl,Cyrl,Uighur,534,50912989,"FineWeb2, v2.1.0",10,2014,2024,DATA/uig_Cyrl
san,san_Latn,Latn,Sanskrit,2006,49699019,"FineWeb2, v2.1.0",12,2013,2024,DATA/san_Latn
fij,fij_Latn,Latn,Fijian,1802,49629479,"FineWeb2, v2.1.0",12,2013,2024,DATA/fij_Latn
aeb,aeb_Arab,Arab,Tunisian Arabic,2007,49260316,"FineWeb2, v2.1.0",12,2013,2024,DATA/aeb_Arab
nde,nde_Latn,Latn,North Ndebele,260,47870424,"FineWeb2, v2.1.0",12,2013,2024,DATA/nde_Latn
non,non_Latn,Latn,Old Norse,571,47737068,"FineWeb2, v2.1.0",12,2013,2024,DATA/non_Latn
shn,shn_Mymr,Mymr,Shan,2404,47374282,"FineWeb2, v2.1.0",12,2013,2024,DATA/shn_Mymr
iba,iba_Latn,Latn,Iban,1111,46610044,"FineWeb2, v2.1.0",12,2013,2024,DATA/iba_Latn
new,new_Deva,Deva,Nepal Bhasa,1245,45788734,"FineWeb2, v2.1.0",12,2013,2024,DATA/new_Deva
fro,fro_Latn,Latn,Old French (842-ca. 1400),846,45160969,"FineWeb2, v2.1.0",12,2013,2024,DATA/fro_Latn
rmn,rmn_Latn,Latn,Balkan Romani,591,42966720,"FineWeb2, v2.1.0",12,2013,2024,DATA/rmn_Latn
bxr,bxr_Cyrl,Cyrl,Russia Buriat,1351,41342310,"FineWeb2, v2.1.0",12,2013,2024,DATA/bxr_Cyrl
kpv,kpv_Cyrl,Cyrl,Komi-Zyrian,714,38508556,"FineWeb2, v2.1.0",12,2013,2024,DATA/kpv_Cyrl
gug,gug_Latn,Latn,Paraguayan Guaraní,1275,38175120,"FineWeb2, v2.1.0",12,2013,2024,DATA/gug_Latn
bho,bho_Deva,Deva,Bhojpuri,830,36343843,"FineWeb2, v2.1.0",12,2013,2024,DATA/bho_Deva
bbc,bbc_Latn,Latn,Batak Toba,474,35636201,"FineWeb2, v2.1.0",12,2013,2024,DATA/bbc_Latn
ewe,ewe_Latn,Latn,Ewe,1025,35451635,"FineWeb2, v2.1.0",12,2013,2024,DATA/ewe_Latn
tso,tso_Latn,Latn,Tsonga,596,34411686,"FineWeb2, v2.1.0",12,2013,2024,DATA/tso_Latn
und,und_Brai,Brai,Undetermined,9097,34036063,"FineWeb2, v2.1.0",12,2013,2024,DATA/und_Brai
hne,hne_Deva,Deva,Chhattisgarhi,3951,33144522,"FineWeb2, v2.1.0",12,2013,2024,DATA/hne_Deva
ava,ava_Cyrl,Cyrl,Avaric,688,31653330,"FineWeb2, v2.1.0",12,2013,2024,DATA/ava_Cyrl
pms,pms_Latn,Latn,Piemontese,1060,31314806,"FineWeb2, v2.1.0",12,2013,2024,DATA/pms_Latn
wln,wln_Latn,Latn,Walloon,1511,30935825,"FineWeb2, v2.1.0",12,2013,2024,DATA/wln_Latn
tam,tam_Latn,Latn,Tamil,868,30521739,"FineWeb2, v2.1.0",12,2013,2024,DATA/tam_Latn
ltg,ltg_Latn,Latn,Latgalian,619,29917216,"FineWeb2, v2.1.0",12,2013,2024,DATA/ltg_Latn
mwl,mwl_Latn,Latn,Mirandese,1113,29742759,"FineWeb2, v2.1.0",12,2013,2024,DATA/mwl_Latn
kaa,kaa_Cyrl,Cyrl,Kara-Kalpak,437,29456232,"FineWeb2, v2.1.0",11,2013,2024,DATA/kaa_Cyrl
